atleta_id,ult5_sos,playmaking,risco_rotacao,goalShare,ds_jogo,epts_scouts
107203,2.299,0.0,0.0,0.0,1.0,3.119
109097,3.94,,0.0,0.0,0.667,3.773
112616,0.313,,0.0,,0.0,3.719
113158,0.191,,0.0,0.0,0.0,3.657
114208,4.467,,0.0,0.0667,0.0,3.92
117061,0.056,,0.25,,0.333,3.102
122670,5.413,,0.0,,1.0,4.697
122781,3.246,,0.25,0.0,0.333,3.775
122897,-0.556,,0.0,,0.0,3.312
141344,1.574,0.0,0.25,0.0,0.667,2.95
141763,0.819,,0.0,,0.667,4.33
147202,1.519,,0.5,0.0,0.0,3.728
37715,2.261,,0.0,,0.667,3.367
81091,3.918,0.0,0.333,0.0,3.0,3.793
