date,season,home_team,away_team,home_goals,away_goals,avg_odds_home,avg_odds_draw,avg_odds_away
2012-09-02,2012,Corinthians,Atletico-MG,1,0,2.24,3.22,3.08
2012-09-02,2012,Internacional,Flamengo,4,1,1.65,3.61,5.07
2012-09-02,2012,Sport,Santos,2,1,2.43,3.15,2.82
2012-09-02,2012,Botafogo,Coritiba,2,0,1.88,3.4,3.94
2012-09-02,2012,Cruzeiro,Nautico,3,0,1.56,3.8,5.67
2012-09-05,2012,Nautico,Vasco,1,1,2.35,3.23,2.89
2012-09-05,2012,Portuguesa,Coritiba,3,0,1.96,3.37,3.63
2012-09-05,2012,Bahia,Atletico-MG,0,0,2.87,3.15,2.41
2012-09-05,2012,Flamengo,Ponte Preta,0,1,2.02,3.33,3.48
2012-09-06,2012,Gremio,Atletico-GO,2,1,1.38,4.36,8.09
2012-09-06,2012,Cruzeiro,Botafogo,1,3,1.9,3.42,3.8
2012-09-06,2012,Figueirense,Corinthians,1,0,2.54,3.17,2.68
2012-09-06,2012,Sao Paulo,Internacional,1,1,1.82,3.44,4.15
2012-09-07,2012,Fluminense,Santos,3,1,1.65,3.62,4.98
2012-09-07,2012,Palmeiras,Sport,3,1,1.53,3.8,6.09
2012-09-08,2012,Coritiba,Flamengo,3,0,1.71,3.62,4.63
2012-09-08,2012,Ponte Preta,Figueirense,2,2,1.76,3.54,4.32
2012-09-09,2012,Vasco,Bahia,0,4,1.57,3.74,5.68
2012-09-09,2012,Sport,Cruzeiro,2,1,2.54,3.17,2.68
2012-09-09,2012,Atletico-MG,Palmeiras,3,0,1.57,3.74,5.72
2012-09-09,2012,Atletico-GO,Portuguesa,1,1,2.32,3.23,2.93
2012-09-09,2012,Botafogo,Nautico,3,1,1.65,3.67,5.0
2012-09-09,2012,Internacional,Fluminense,0,1,2.53,3.17,2.7
2012-09-09,2012,Corinthians,Gremio,3,1,2.48,3.15,2.77
2012-09-09,2012,Santos,Sao Paulo,0,0,3.05,3.25,2.25
2012-09-12,2012,Corinthians,Ponte Preta,1,1,1.66,3.61,4.98
2012-09-12,2012,Figueirense,Cruzeiro,2,0,2.26,3.29,3.0
2012-09-12,2012,Portuguesa,Fluminense,0,2,2.84,3.22,2.41
2012-09-13,2012,Vasco,Palmeiras,3,1,2.07,3.21,3.56
2012-09-13,2012,Santos,Flamengo,2,0,1.65,3.68,4.95
2012-09-13,2012,Atletico-GO,Coritiba,1,2,2.29,3.29,2.95
2012-09-13,2012,Sport,Bahia,1,1,2.33,3.22,2.95
2012-09-13,2012,Atletico-MG,Sao Paulo,1,0,1.69,3.65,4.71
2012-09-14,2012,Botafogo,Internacional,1,1,2.23,3.24,3.11
2012-09-14,2012,Gremio,Nautico,2,0,1.29,5.09,9.54
2012-09-15,2012,Sao Paulo,Portuguesa,3,1,1.61,3.7,5.28
2012-09-15,2012,Fluminense,Atletico-GO,1,2,1.46,4.13,6.61
2012-09-16,2012,Ponte Preta,Botafogo,0,0,2.26,3.27,3.01
2012-09-16,2012,Internacional,Sport,2,2,1.35,4.53,8.53
2012-09-16,2012,Flamengo,Gremio,1,1,2.75,3.2,2.46
2012-09-16,2012,Palmeiras,Corinthians,0,2,2.52,3.08,2.77
2012-09-16,2012,Nautico,Atletico-MG,1,0,2.88,3.24,2.34
2012-09-16,2012,Coritiba,Santos,1,2,2.02,3.35,3.46
2012-09-16,2012,Bahia,Figueirense,2,1,1.82,3.44,4.16
2012-09-16,2012,Cruzeiro,Vasco,1,1,2.51,3.17,2.73
2012-09-22,2012,Figueirense,Palmeiras,1,3,2.56,3.23,2.62
2012-09-22,2012,Fluminense,Nautico,2,1,1.34,4.54,8.61
2012-09-23,2012,Atletico-MG,Gremio,0,0,1.94,3.36,3.75
2012-09-23,2012,Sport,Coritiba,1,0,2.19,3.32,3.1
2012-09-23,2012,Internacional,Bahia,3,1,1.44,4.11,7.0
2012-09-23,2012,Sao Paulo,Cruzeiro,1,0,1.56,3.83,5.75
2012-09-23,2012,Atletico-GO,Flamengo,1,2,2.22,3.29,3.07
2012-09-23,2012,Botafogo,Corinthians,2,2,2.05,3.27,3.49
2012-09-23,2012,Santos,Portuguesa,1,3,2.14,3.26,3.25
2012-09-23,2012,Ponte Preta,Vasco,0,0,2.5,3.2,2.71
2012-09-27,2012,Flamengo,Atletico-MG,2,1,3.02,3.26,2.28
2012-09-29,2012,Cruzeiro,Internacional,0,0,2.88,3.16,2.4
2012-09-29,2012,Nautico,Atletico-GO,2,0,1.67,3.65,4.78
2012-09-29,2012,Portuguesa,Atletico-MG,1,1,2.64,3.21,2.55
2012-09-29,2012,Vasco,Figueirense,3,1,1.51,3.99,6.04
2012-09-30,2012,Gremio,Santos,1,1,1.68,3.7,4.7
2012-09-30,2012,Flamengo,Fluminense,0,1,3.41,3.25,2.09
2012-09-30,2012,Coritiba,Sao Paulo,1,1,2.37,3.24,2.85
2012-09-30,2012,Bahia,Botafogo,2,0,2.45,3.24,2.75
2012-09-30,2012,Palmeiras,Ponte Preta,3,0,1.6,3.7,5.41
2012-09-30,2012,Corinthians,Sport,3,0,1.48,3.9,6.77
2012-10-05,2012,Coritiba,Ponte Preta,1,0,1.69,3.64,4.73
2012-10-05,2012,Flamengo,Bahia,0,0,1.96,3.32,3.73
2012-10-05,2012,Portuguesa,Sport,5,1,1.62,3.67,5.25
2012-10-06,2012,Fluminense,Botafogo,1,0,2.08,3.27,3.42
2012-10-06,2012,Gremio,Cruzeiro,2,1,1.51,3.94,6.07
2012-10-06,2012,Santos,Internacional,1,1,2.56,3.14,2.68
2012-10-06,2012,Atletico-MG,Figueirense,6,0,1.33,4.68,8.67
2012-10-06,2012,Nautico,Corinthians,2,1,2.3,3.24,2.94
2012-10-06,2012,Atletico-GO,Vasco,0,1,3.39,3.24,2.09
2012-10-06,2012,Sao Paulo,Palmeiras,3,0,1.95,3.34,3.72
2012-10-10,2012,Bahia,Fluminense,0,2,3.03,3.17,2.31
2012-10-10,2012,Botafogo,Santos,0,2,1.73,3.62,4.4
2012-10-10,2012,Cruzeiro,Portuguesa,2,0,2.32,3.29,2.88
2012-10-10,2012,Figueirense,Atletico-GO,3,1,1.9,3.44,3.79
2012-10-10,2012,Ponte Preta,Nautico,2,1,1.65,3.7,4.91
2012-10-11,2012,Vasco,Sao Paulo,0,2,2.51,3.16,2.74
2012-10-11,2012,Internacional,Atletico-MG,3,0,2.19,3.28,3.15
2012-10-11,2012,Corinthians,Flamengo,3,2,1.78,3.48,4.35
2012-10-12,2012,Palmeiras,Coritiba,0,1,1.91,3.37,3.85
2012-10-12,2012,Sport,Gremio,1,3,2.45,3.28,2.71
2012-10-13,2012,Atletico-GO,Internacional,3,1,4.18,3.48,1.81
2012-10-13,2012,Flamengo,Cruzeiro,1,1,2.04,3.37,3.42
2012-10-14,2012,Fluminense,Ponte Preta,2,1,1.46,4.06,6.67
2012-10-14,2012,Sao Paulo,Figueirense,2,0,1.28,5.17,9.99
2012-10-14,2012,Santos,Vasco,2,0,2.18,3.25,3.18
2012-10-14,2012,Gremio,Botafogo,1,1,1.64,3.67,5.04
2012-10-14,2012,Nautico,Palmeiras,1,0,1.78,3.56,4.22
2012-10-14,2012,Atletico-MG,Sport,2,1,1.28,5.15,9.75
2012-10-14,2012,Portuguesa,Corinthians,1,1,2.47,3.24,2.71
2012-10-14,2012,Coritiba,Bahia,2,1,1.6,3.67,5.41
2012-10-17,2012,Bahia,Palmeiras,0,1,2.25,3.22,3.06
2012-10-17,2012,Coritiba,Nautico,2,1,1.52,4.01,5.85
2012-10-17,2012,Fluminense,Gremio,2,2,2.03,3.31,3.5
2012-10-17,2012,Internacional,Figueirense,2,3,1.35,4.64,8.04
2012-10-18,2012,Santos,Atletico-MG,2,2,2.12,3.37,3.21
2012-10-18,2012,Portuguesa,Flamengo,0,0,2.06,3.32,3.38
2012-10-18,2012,Cruzeiro,Corinthians,2,0,1.96,3.35,3.69
2012-10-19,2012,Botafogo,Vasco,3,2,2.32,3.32,2.86
2012-10-19,2012,Sao Paulo,Atletico-GO,2,0,1.25,5.52,10.16
2012-10-19,2012,Sport,Ponte Preta,3,1,2.01,3.35,3.5
2012-10-20,2012,Corinthians,Bahia,1,1,1.76,3.51,4.41
2012-10-20,2012,Gremio,Coritiba,0,0,1.51,3.9,6.13
2012-10-20,2012,Palmeiras,Cruzeiro,2,0,1.84,3.47,4.0
2012-10-21,2012,Ponte Preta,Santos,1,0,2.89,3.35,2.3
2012-10-21,2012,Nautico,Portuguesa,0,0,1.69,3.56,4.79
2012-10-21,2012,Atletico-GO,Sport,0,1,2.36,3.29,2.83
2012-10-21,2012,Atletico-MG,Fluminense,3,2,2.1,3.29,3.32
2012-10-21,2012,Flamengo,Sao Paulo,1,0,3.19,3.22,2.18
2012-10-24,2012,Vasco,Internacional,1,2,2.21,3.27,3.09
2012-10-25,2012,Figueirense,Botafogo,0,2,2.37,3.37,2.75
2012-10-26,2012,Fluminense,Coritiba,2,1,1.54,3.94,5.65
2012-10-26,2012,Ponte Preta,Cruzeiro,1,0,2.14,3.25,3.24
2012-10-26,2012,Santos,Nautico,0,0,1.52,4.01,5.75
2012-10-27,2012,Sport,Sao Paulo,2,4,2.94,3.31,2.27
2012-10-27,2012,Figueirense,Portuguesa,0,0,2.26,3.31,2.96
2012-10-27,2012,Botafogo,Atletico-GO,4,0,1.38,4.49,7.58
2012-10-27,2012,Bahia,Gremio,1,1,2.63,3.23,2.57
2012-10-27,2012,Corinthians,Vasco,1,0,1.85,3.43,4.0
2012-10-27,2012,Internacional,Palmeiras,2,1,1.77,3.49,4.35
2012-10-31,2012,Atletico-MG,Flamengo,1,1,1.52,3.91,5.98
2012-11-03,2012,Cruzeiro,Santos,0,4,2.35,3.26,2.87
2012-11-03,2012,Gremio,Ponte Preta,1,0,1.42,4.22,7.28
2012-11-03,2012,Flamengo,Figueirense,1,0,1.56,3.82,5.6
2012-11-04,2012,Coritiba,Atletico-MG,1,0,2.49,3.34,2.63
2012-11-04,2012,Nautico,Internacional,3,0,2.19,3.27,3.14
2012-11-04,2012,Vasco,Sport,0,3,1.48,4.13,6.3
2012-11-04,2012,Portuguesa,Bahia,0,1,1.9,3.35,3.89
2012-11-04,2012,Palmeiras,Botafogo,2,2,1.92,3.39,3.78
2012-11-04,2012,Atletico-GO,Corinthians,0,2,4.4,3.56,1.74
2012-11-04,2012,Sao Paulo,Fluminense,1,1,1.95,3.4,3.65
2012-11-10,2012,Botafogo,Portuguesa,3,0,1.68,3.57,4.84
2012-11-10,2012,Corinthians,Coritiba,5,1,1.79,3.45,4.28
2012-11-10,2012,Atletico-GO,Santos,2,1,4.98,3.86,1.61
2012-11-11,2012,Gremio,Sao Paulo,2,1,2.36,3.25,2.86
2012-11-11,2012,Palmeiras,Fluminense,2,3,2.44,3.3,2.7
2012-11-11,2012,Vasco,Atletico-MG,1,1,2.75,3.29,2.42
2012-11-11,2012,Cruzeiro,Bahia,3,1,2.17,3.26,3.2
2012-11-11,2012,Figueirense,Sport,1,1,2.5,3.39,2.59
2012-11-11,2012,Nautico,Flamengo,0,1,1.73,3.56,4.55
2012-11-11,2012,Ponte Preta,Internacional,1,0,2.44,3.25,2.74
2012-11-17,2012,Coritiba,Vasco,1,2,1.7,3.66,4.56
2012-11-17,2012,Santos,Figueirense,2,0,1.35,4.77,7.7
2012-11-18,2012,Sport,Botafogo,2,0,2.3,3.36,2.85
2012-11-18,2012,Portuguesa,Gremio,2,2,2.57,3.2,2.64
2012-11-18,2012,Internacional,Corinthians,0,2,2.19,3.25,3.14
2012-11-18,2012,Sao Paulo,Nautico,2,1,1.32,4.78,8.66
2012-11-18,2012,Bahia,Ponte Preta,1,0,1.79,3.42,4.33
2012-11-18,2012,Flamengo,Palmeiras,1,1,2.31,3.36,2.85
2012-11-18,2012,Atletico-MG,Atletico-GO,2,2,1.26,5.4,10.33
2012-11-18,2012,Fluminense,Cruzeiro,0,2,1.7,3.66,4.56
