name,team,apps,xG,xg90,goal,shots
Nuno Moreira,Vasco da Gama,17,1.57,0.157,1,20
Renato Kayzer,Vitoria,15,3.19,0.383,4,17
João Cruz,Athletico Paranaense,14,0.82,0.157,0,14
Julimar,Athletico Paranaense,13,2.41,0.297,3,15
André,Corinthians,16,0.94,0.086,3,15
João Schmidt,Santos FC,10,0.42,0.061,0,6
Reinier,Atletico MG,15,2.84,0.409,1,17
Carlos Terán,Athletico Paranaense,14,0.75,0.075,0,7
Kevin Serna,Fluminense,20,2.79,0.222,1,23
Braian Aguirre,Internacional,13,0.81,0.152,1,12
Jean Carlos,Chapecoense AF,17,1.48,0.205,2,18
Ademir,Bahia,20,1.67,0.193,1,22
Sebastián Gómez,Coritiba,16,0.49,0.035,0,13
Rafael Borré,Internacional,17,5.74,0.498,2,28
Rony,Santos FC,16,1.0,0.098,0,17
Bruno Leonardo,Chapecoense AF,15,0.13,0.009,0,2
Matheus Fernandes,Red Bull Bragantino,12,0.34,0.046,0,12
João Vitor,Chapecoense AF,11,0.81,0.122,0,19
Edenílson,Botafogo RJ,13,1.88,0.291,3,11
Juan Nardoni,Gremio,13,1.78,0.177,1,11
Bruno Henrique,Flamengo,14,1.17,0.214,0,12
Tiago Cóser,Coritiba,17,0.59,0.048,1,4
Maicon,Coritiba,13,0.1,0.009,0,1
Mateo Ponte,Botafogo RJ,10,0.52,0.078,0,2
Cauly,Sao Paulo,12,1.2,0.19,1,7
Joaquín Lavega,Coritiba,19,2.4,0.236,5,15
Ayrton Lucas,Flamengo,10,0.34,0.062,0,6
Gabriel Brazão,Santos FC,18,0.04,0.002,0,1
Gabriel Mec,Gremio,15,1.91,0.25,2,12
Felipe Jonatan,Coritiba,13,0.24,0.038,0,7
Thaciano,Santos FC,13,2.1,0.309,2,15
Luan Peres,Santos FC,16,0.15,0.011,0,3
Evertton Araújo,Flamengo,15,0.77,0.079,0,16
Mateo Cassierra,Atletico MG,16,4.51,0.477,2,23
Marcinho,Chapecoense AF,19,1.32,0.119,2,21
Wallisson,Coritiba,12,0.1,0.022,0,3
Vini Paulista,Coritiba,20,0.66,0.073,0,9
Pablo Maia,Sao Paulo,12,0.19,0.026,0,8
André Carrillo,Corinthians,16,0.15,0.018,0,4
Lucas Villalba,Botafogo RJ,12,0.43,0.074,1,5
Bruninho,Athletico Paranaense,9,0.63,0.184,0,9
Zé Ricardo,Remo,18,0.35,0.03,0,10
Lucas Piton,Vasco da Gama,14,0.73,0.078,0,6
Giovanni Augusto,Chapecoense AF,13,0.22,0.033,0,5
Yeferson Soteldo,Fluminense,13,0.66,0.114,0,7
Bruno Henrique,Internacional,17,1.28,0.12,0,17
Santiago Rodríguez,Botafogo RJ,13,0.04,0.007,0,1
Kadir Barría,Botafogo RJ,11,1.88,0.591,1,13
Gustavo Scarpa,Atletico MG,10,0.61,0.173,1,14
Alerrandro,Internacional,19,6.88,0.678,3,28
José Enamorado,Gremio,18,1.1,0.114,0,13
Hugo Moura,Vasco da Gama,11,0.41,0.064,1,3
Dudu,Atletico MG,13,1.65,0.45,2,13
Dudu Kogitzki,Athletico Paranaense,13,1.02,0.146,1,5
João Pedro Chermont,Coritiba,12,0.2,0.027,0,5
Shaylon,Mirassol,15,0.44,0.046,1,11
Zakaria Labyad,Corinthians,10,0.3,0.152,1,5
Néiser Villarreal,Cruzeiro,12,5.01,0.825,3,20
Vinicinho,Red Bull Bragantino,9,0.08,0.023,0,2
Wagner Leonardo,Gremio,9,0.41,0.054,0,2
Mateo Sanabria,Bahia,12,1.45,0.435,2,13
Eduardo,Mirassol,12,1.41,0.221,2,10
Júnior Santos,Botafogo RJ,9,1.36,0.298,1,8
Jordan Barrera,Botafogo RJ,11,1.32,0.32,1,11
Eduardo Sasha,Red Bull Bragantino,15,4.14,0.423,1,21
Neto Pessoa,Chapecoense AF,10,2.0,0.67,2,14
Rubens,Chapecoense AF,9,0.12,0.059,1,4
Diego Hernández,Remo,9,0.44,0.251,0,6
Willian Oliveira,Coritiba,10,0.29,0.056,0,5
Yago Pikachu,Remo,19,1.37,0.114,2,20
Yannick Bolasie,Chapecoense AF,17,4.31,0.328,1,30
Marino Hinestroza,Vasco da Gama,9,0.14,0.051,0,5
Paulinho Paula,Internacional,13,0.4,0.051,0,9
Claudio Spinelli,Vasco da Gama,14,5.76,0.814,1,33
Rafael Carvalheira,Chapecoense AF,14,0.77,0.077,2,14
Caio Alexandre,Bahia,11,0.22,0.039,0,3
Thiago Santos,Coritiba,13,0.21,0.031,0,3
Carlos Eduardo,Mirassol,12,1.61,0.253,1,12
Willian,Gremio,9,0.84,0.204,0,7
Tchê Tchê,Vasco da Gama,14,1.24,0.13,1,10
Allan,Botafogo RJ,10,0.1,0.02,0,2
Eric Ramires,Red Bull Bragantino,13,0.71,0.132,0,2
Marcos Vinícius,Chapecoense AF,10,0.96,0.149,0,3
Dieguinho,Corinthians,9,0.13,0.088,1,4
Moisés,Santos FC,13,1.78,0.431,2,9
Ignacio Sosa,Red Bull Bragantino,14,0.29,0.064,0,5
Gustavo Henrique,Santos FC,9,0.1,0.013,0,2
Allan,Corinthians,15,0.56,0.078,0,6
Thiago Maia,Internacional,10,0.03,0.02,0,1
Fabrício,Vitoria,9,0.81,0.374,0,6
Everton,Chapecoense AF,16,0.68,0.057,0,10
Nicolás de la Cruz,Flamengo,10,0.27,0.11,0,4
Nathan Fogaça,Mirassol,11,3.84,0.987,2,17
Bruno Zapelli,Athletico Paranaense,15,0.62,0.082,0,10
Brenner,Vasco da Gama,14,3.67,0.566,1,17
Matheus Henrique,Cruzeiro,19,0.44,0.042,0,9
Juan Portilla,Athletico Paranaense,16,0.24,0.027,0,6
Mamady Cissé,Atletico MG,10,0.64,0.245,1,7
Neto Moura,Mirassol,12,0.45,0.055,0,11
Facundo Bernal,Fluminense,10,0.31,0.05,0,9
Jesse Lingard,Corinthians,10,0.45,0.095,0,6
Italo,Chapecoense AF,15,1.26,0.159,0,16
Lucas Villalba,Cruzeiro,10,0.07,0.01,0,3
Lucas Evangelista,Palmeiras,18,0.64,0.144,0,7
Matheus Pereira,Corinthians,13,0.19,0.036,0,8
Wanderson,Cruzeiro,16,1.03,0.217,1,13
Bruno Rodrigues,Cruzeiro,11,0.36,0.098,0,5
Matheus Alexandre,Remo,9,0.04,0.019,0,1
Lucas Silva,Cruzeiro,14,0.14,0.021,0,4
Jáderson,Remo,10,0.13,0.059,0,3
André Luís,Mirassol,12,1.71,0.331,1,5
Ganso,Fluminense,12,0.56,0.153,0,5
Martin Braithwaite,Gremio,13,0.29,0.064,0,4
Gonzalo Tapia,Sao Paulo,11,2.09,0.685,0,8
Antonio Galeano,Mirassol,11,0.68,0.217,0,8
Gabriel Poveda,Remo,10,0.14,0.087,0,2
Michel Araújo,Bahia,12,0.08,0.03,0,4
André Silva,Sao Paulo,13,0.41,0.109,0,5
