rodada,name,team,apps,mins,xG,xg90,goal,shots
26,Eduardo,Mirassol,18,984,3.34,0.3055,4,23.0
26,David,Vasco da Gama,21,983,2.795,0.2559,3,17.0
26,André Carrillo,Corinthians,21,1062,0.674,0.0571,0,8.0
26,Mateo Ponte,Botafogo RJ,11,617,0.516,0.0753,0,2.0
26,Rony,Santos FC,20,1044,1.529,0.1318,0,19.0
26,Maurício Garcez,Chapecoense AF,11,616,2.056,0.3004,1,13.0
26,Gabriel Mec,Gremio,16,716,1.954,0.2457,2,13.0
26,Edenílson,Botafogo RJ,16,732,2.373,0.2917,3,13.0
26,Renato Kayzer,Vitoria,18,795,3.935,0.4455,4,20.0
26,Wallisson,Coritiba,12,432,0.105,0.0218,0,3.0
26,Gustavo Henrique,Santos FC,13,870,0.443,0.0458,0,4.0
26,Vini Paulista,Coritiba,23,901,1.185,0.1184,0,11.0
26,Maicon,Coritiba,15,1059,0.104,0.0088,0,1.0
26,Carlos Cuesta,Vasco da Gama,15,1300,0.344,0.0238,0,5.0
26,Kaique Kenji,Cruzeiro,11,361,0.538,0.1342,1,8.0
26,Mateo Cassierra,Atletico MG,19,1010,5.648,0.5033,2,26.0
26,Allan,Corinthians,21,1137,0.626,0.0495,0,9.0
26,Yago Pikachu,Remo,25,1545,2.637,0.1536,3,24.0
26,Ronaldo,Internacional,11,514,0.258,0.0452,1,7.0
26,Evertton Araújo,Flamengo,20,996,0.844,0.0762,0,19.0
26,Thiago Maia,Internacional,12,263,0.03,0.0102,0,1.0
26,Mamady Cissé,Atletico MG,14,552,0.769,0.1254,1,9.0
26,Hugo Moura,Vasco da Gama,11,583,0.412,0.0635,1,3.0
26,Yannick Bolasie,Chapecoense AF,18,1211,4.305,0.32,1,30.0
26,Kadir Barría,Botafogo RJ,13,330,2.137,0.5828,1,17.0
26,Tchê Tchê,Vasco da Gama,19,1270,2.374,0.1682,2,21.0
26,José Enamorado,Gremio,20,940,1.207,0.1156,0,16.0
26,Júnior Santos,Botafogo RJ,13,553,1.78,0.2897,1,13.0
26,Lucas Villalba,Botafogo RJ,15,660,1.01,0.1378,1,9.0
26,Paulinho Paula,Internacional,18,876,0.515,0.0529,0,12.0
26,Jordan Barrera,Botafogo RJ,12,396,1.343,0.3053,1,12.0
26,Bruno Rodrigues,Cruzeiro,14,498,1.099,0.1987,1,9.0
26,Thaciano,Santos FC,17,669,2.171,0.292,2,16.0
26,Claudio Spinelli,Vasco da Gama,17,736,6.008,0.7347,1,37.0
26,Gustavo Scarpa,Atletico MG,12,359,0.664,0.1666,1,16.0
26,Zakaria Labyad,Corinthians,11,225,0.301,0.1206,1,5.0
26,Mateo Sanabria,Bahia,14,327,1.551,0.427,2,15.0
26,Juan Nardoni,Gremio,16,1029,1.923,0.1682,1,13.0
26,Alerrandro,Internacional,21,935,6.88,0.6623,3,28.0
26,Neto Moura,Mirassol,15,922,0.46,0.0449,0,12.0
26,Rafael Carvalheira,Chapecoense AF,14,897,0.77,0.0773,2,14.0
26,Felipe Jonatan,Coritiba,17,691,0.294,0.0383,0,9.0
26,Dudu,Atletico MG,16,381,1.726,0.4078,2,14.0
26,Dudu Kogitzki,Athletico Paranaense,18,723,1.101,0.137,1,6.0
26,Ganso,Fluminense,17,677,0.592,0.0787,0,6.0
26,Néiser Villarreal,Cruzeiro,14,644,5.095,0.712,3,21.0
26,Shaylon,Mirassol,19,978,0.506,0.0465,1,13.0
26,Eric Ramires,Red Bull Bragantino,17,684,0.799,0.1051,0,3.0
26,Allan,Botafogo RJ,11,528,0.126,0.0215,0,3.0
26,Moisés,Santos FC,13,372,1.781,0.4308,2,9.0
26,Ignacio Sosa,Red Bull Bragantino,14,406,0.287,0.0635,0,5.0
26,Everton,Chapecoense AF,20,1252,0.677,0.0487,0,10.0
26,Juan Portilla,Athletico Paranaense,19,991,0.314,0.0285,0,8.0
26,Pedro Raul,Corinthians,13,400,1.236,0.2782,1,10.0
26,Nathan Fogaça,Mirassol,11,350,3.839,0.9872,2,17.0
26,Eduardo Sasha,Red Bull Bragantino,18,978,4.622,0.4253,1,23.0
26,Marino Hinestroza,Vasco da Gama,14,337,0.182,0.0485,0,6.0
26,Lucas Evangelista,Palmeiras,21,508,0.744,0.1318,0,10.0
26,Caio Alexandre,Bahia,15,574,0.221,0.0346,0,3.0
26,Fabrício,Vitoria,11,215,0.831,0.348,0,7.0
26,Bruno Zapelli,Athletico Paranaense,18,720,0.73,0.0912,0,12.0
26,Carlos Eduardo,Mirassol,16,650,1.689,0.2339,1,13.0
26,Brenner,Vasco da Gama,15,630,3.674,0.5249,1,17.0
26,Wanderson,Cruzeiro,18,443,1.125,0.2286,2,15.0
26,David Braga,Remo,11,323,0.061,0.0169,0,2.0
26,Dieguinho,Corinthians,14,294,0.398,0.1218,1,8.0
26,Italo,Chapecoense AF,15,718,1.265,0.1585,0,16.0
26,Matheus Henrique,Cruzeiro,23,1231,0.561,0.041,0,13.0
26,Nicolás de la Cruz,Flamengo,11,230,0.275,0.1076,0,4.0
26,Matheus Alexandre,Remo,11,257,0.038,0.0132,0,1.0
26,Jesse Lingard,Corinthians,15,607,0.948,0.1406,0,8.0
26,Matheus Pereira,Corinthians,18,620,0.212,0.0307,0,9.0
26,Lucas Silva,Cruzeiro,16,627,0.137,0.0197,0,4.0
26,Marinho,Vitoria,13,356,0.793,0.2005,0,13.0
26,Michel Araújo,Bahia,18,346,0.557,0.1449,0,7.0
26,Jáderson,Remo,11,205,0.133,0.0584,0,3.0
26,Martin Braithwaite,Gremio,17,568,0.401,0.0635,0,6.0
26,Gonzalo Tapia,Sao Paulo,11,275,2.092,0.6846,0,8.0
26,André Luís,Mirassol,15,576,1.939,0.3029,1,6.0
26,Gabriel Poveda,Remo,13,161,0.141,0.0786,0,2.0
26,Antonio Galeano,Mirassol,11,283,0.684,0.2174,0,8.0
26,André Silva,Sao Paulo,15,387,0.454,0.1056,0,7.0
