atleta_id,name,pos,team,price,media,status,desvio,ult5
115914,Evertton Araújo,MEI,FLA,3.03,1.32,Nulo,3.05,3.6399999999999997
140492,João Victor,ZAG,FLA,4.34,6.5,Nulo,0.0,6.5
122573,Wallace Yan,ATA,FLA,2.44,0.1,Nulo,0.35,0.5333333333333333
78855,Thiago Santos,ZAG,CFC,4.36,3.16,Provável,2.65,3.7000000000000006
143295,Joshua,MEI,FLA,2.6,-0.3,Nulo,0.0,-0.3
62977,Ganso,MEI,FLU,3.41,0.85,Nulo,1.29,2.38
78117,Everaldo,ATA,BAH,6.29,4.04,Nulo,5.62,3.34
78445,Renê,LAT,FLU,9.65,5.84,Dúvida,3.53,6.08
79631,Cano,ATA,FLU,4.07,1.13,Nulo,0.38,1.7
86485,Keno,ATA,CFC,3.28,0.65,Nulo,1.25,1.125
87228,Guilherme Arana,LAT,FLU,7.42,3.25,Dúvida,2.95,3.54
102928,Canobbio,ATA,FLU,10.45,7.0,Provável,5.44,7.220000000000001
87258,Soteldo,ATA,FLU,3.96,1.56,Provável,1.99,2.5
89493,Igor Rabello,ZAG,FLU,7.95,8.8,Provável,0.0,8.8
82463,Otávio,MEI,FLU,2.87,0.58,Nulo,0.14,1.6
101319,Guga,LAT,FLU,5.55,3.01,Provável,4.54,1.7399999999999998
99366,Luis Zubeldía,TEC,FLU,10.07,5.54,Provável,2.2,4.898
100987,Nonato,MEI,FLU,5.94,2.6,Nulo,2.31,2.8599999999999994
105647,Maurício,MEI,PAL,6.93,3.85,Provável,5.56,7.039999999999999
110759,John Kennedy,ATA,FLU,10.92,7.3,Contundido,4.98,8.5
72018,Tiago Volpi,GOL,RBB,9.14,5.57,Provável,4.69,9.18
132071,Serna,ATA,FLU,6.72,3.21,Nulo,3.27,5.04
116447,Hércules,MEI,FLU,6.82,3.79,Provável,3.65,3.18
103523,Ignácio,ZAG,FLU,7.32,3.45,Suspenso,3.36,4.1
113034,Freytes,ZAG,FLU,5.23,2.63,Contundido,2.35,2.58
88037,Luís Castro,TEC,GRE,9.48,4.74,Provável,1.82,3.9779999999999993
63289,Edenílson,MEI,BOT,6.15,3.2,Nulo,5.79,5.7
91706,Marlon,LAT,GRE,8.97,5.49,Provável,6.12,6.279999999999999
97145,Villasanti,MEI,GRE,6.99,2.3,Provável,0.0,1.2
91908,Pavón,ATA,GRE,7.44,4.21,Provável,3.43,4.38
42135,Willian,MEI,GRE,3.74,1.06,Nulo,1.96,1.7600000000000002
105563,Carlos Vinícius,ATA,GRE,14.47,5.62,Provável,7.28,5.08
63013,Marcos Rocha,LAT,GRE,5.95,0.8,Nulo,0.61,1.3333333333333333
87342,Kannemann,ZAG,GRE,3.78,-0.4,Nulo,0.0,0.2
111309,Gustavo Martins,ZAG,GRE,5.5,2.76,Provável,3.56,4.46
112616,Gabriel Grando,GOL,GRE,3.77,0.3,Nulo,0.0,0.3
87887,Balbuena,ZAG,GRE,6.98,3.94,Nulo,3.39,5.24
89273,João Pedro,LAT,GRE,3.11,0.72,Nulo,0.44,1.05
89883,Dodi,MEI,GRE,2.52,0.07,Nulo,0.78,1.75
104994,Wagner Leonardo,ZAG,GRE,5.36,2.78,Nulo,2.27,4.5200000000000005
88136,Ivan,GOL,REM,7.58,10.2,Nulo,0.0,10.2
102318,Caio Paulista,LAT,GRE,5.62,3.43,Nulo,2.8,4.46
109966,Monsalve,MEI,GRE,3.12,0.64,Nulo,1.05,0.9800000000000001
142004,Amuzu,ATA,GRE,7.21,4.0,Provável,3.73,2.84
116067,Thiago Beltrame,GOL,GRE,2.08,0.7,Nulo,0.0,0.7
130889,Riquelme,MEI,GRE,2.42,-1.45,Nulo,0.0,-1.45
72951,Mercado,ZAG,INT,6.38,3.84,Provável,3.59,3.1399999999999997
70944,Bruno Henrique,MEI,INT,3.74,1.73,Provável,1.5,2.2399999999999998
92981,Ronaldo,MEI,INT,3.88,2.38,Nulo,5.28,4.0
101960,Vitinho,ATA,INT,7.68,4.78,Provável,3.13,5.159999999999999
89637,Thiago Maia,MEI,INT,3.6,0.92,Contundido,0.46,1.46
92182,Juninho,ZAG,INT,5.36,2.17,Nulo,2.02,2.6666666666666665
106202,Bruno Gomes,MEI,INT,6.37,3.41,Provável,2.71,3.54
111683,Anthoni,GOL,INT,3.91,2.55,Nulo,3.88,3.56
68872,Marcelo Lomba,GOL,PAL,7.08,8.9,Nulo,0.0,8.9
107989,Carbonero,ATA,INT,8.68,5.15,Provável,5.8,9.02
71631,Weverton,GOL,GRE,8.19,4.92,Provável,4.66,6.08
115479,Paulo Pezzolano,TEC,INT,7.79,4.78,Provável,2.16,3.318
111466,Victor Gabriel,ZAG,INT,3.51,2.16,Suspenso,1.93,4.26
92811,Bruno Rodrigues,ATA,CRU,3.56,1.74,Nulo,2.14,1.56
110510,Aguirre,LAT,INT,5.86,3.62,Nulo,2.16,3.8800000000000003
93790,Marlon Freitas,MEI,PAL,6.31,2.77,Provável,4.79,2.42
97653,Murilo,ZAG,PAL,7.19,3.55,Provável,3.78,3.8600000000000003
70592,Felipe Anderson,MEI,PAL,6.25,3.1,Nulo,3.62,6.26
104084,Carlos Miguel,GOL,PAL,8.9,5.21,Provável,2.76,5.260000000000001
143488,Raykkonen,ATA,INT,2.63,0.5,Nulo,0.0,0.5
102130,Piquerez,LAT,PAL,11.85,6.97,Provável,4.05,7.019999999999999
110506,Abel Ferreira,TEC,PAL,12.08,6.62,Provável,2.02,7.9
97878,Jacy,ZAG,CFC,5.36,3.92,Dúvida,3.82,3.2399999999999998
113103,Flaco López,ATA,PAL,12.92,6.17,Provável,3.8,6.32
112863,Ramón Sosa,ATA,PAL,5.69,3.38,Nulo,4.43,8.36
84674,Lucas Evangelista,MEI,PAL,3.94,1.09,Nulo,1.17,1.48
141451,Allan,MEI,PAL,12.39,5.91,Provável,5.02,7.840000000000001
113158,Marquinhos,ATA,CRU,3.54,0.45,Nulo,0.0,1.5
99818,Paulinho,ATA,PAL,10.37,3.42,Contundido,3.39,5.15
108683,Emiliano Martínez,MEI,PAL,4.89,2.41,Nulo,1.3,2.56
133679,Benedetti,ZAG,PAL,5.42,4.85,Nulo,0.21,4.85
82775,Lucas Ramon,LAT,SAO,10.2,5.42,Provável,4.12,3.9800000000000004
111832,Jefté,LAT,PAL,4.16,2.47,Contundido,3.96,4.8
105175,Khellven,LAT,PAL,5.69,2.9,Contundido,2.46,3.94
140484,Riquelme Felipe,ATA,FLU,3.53,0.7,Nulo,0.87,0.7000000000000001
101708,Felipe Jonatan,LAT,CFC,4.54,2.38,Nulo,2.49,2.7800000000000002
